Team,Elo
Bournemouth,1555.8461397924962
Aston Villa,1565.5404869779911
Chelsea,1508.1532356019904
Swansea,1398.7512764924863
Everton,1482.7792377705102
Watford,1326.015152412236
Leicester,1351.1198068454373
Sunderland,1476.3036825426343
Man United,1587.6877934393995
Tottenham,1430.7372887357294
Norwich,1310.3829782497621
Crystal Palace,1473.7886808248004
Arsenal,1674.697955587254
West Ham,1447.358947006349
Newcastle,1495.7286785789472
Southampton,1278.0282871997865
Stoke,1409.973859799585
Liverpool,1565.514290715307
West Brom,1365.891472975574
Man City,1649.2063086107223
Hull,1377.8399929932434
Burnley,1332.8641583502838
Middlesbrough,1353.4440848043828
Brighton,1516.182708939208
Huddersfield,1295.8795598978336
Wolves,1367.105205570112
Cardiff,1374.3019022533724
Fulham,1493.8324205121125
Sheffield United,1293.0158091718556
Leeds,1473.406890427129
Brentford,1511.8426610391655
Nott'm Forest,1487.1281986868835
Luton,1332.3564047419195
Ipswich,1293.9719498245918
