Team,ExpectedPoints,PointsRange,ExpectedGD,GDRange,ExpectedRank,RankRange,TitleWin%,Top4%,Relegated%
Arsenal,78.0,56-95,45,6-91,2,1-9,43.8,81.8,0.0
Man United,61.0,40-84,12,-19-59,6,1-16,7.0,34.2,0.8
Liverpool,62.0,41-83,15,-20-62,6,1-15,8.6,37.8,1.2
Brentford,58.5,36-82,9,-25-65,7,1-17,7.4,29.0,4.8
Aston Villa,57.5,37-79,7,-26-46,8,2-17,3.8,25.8,3.8
Man City,58.0,39-80,4,-26-42,8,2-16,4.8,25.4,2.2
Bournemouth,58.0,39-80,10,-22-57,8,1-17,5.6,29.0,3.6
Brighton,55.0,36-77,5,-26-48,9,2-18,3.2,20.0,5.2
Nott'm Forest,55.0,34-75,4,-28-46,9,2-18,1.8,21.2,6.6
Newcastle,56.0,35-78,5,-30-57,9,2-18,3.8,23.4,5.8
Chelsea,51.0,34-74,-3,-29-42,11,2-18,2.2,15.6,5.4
Leeds,50.0,30-73,-6,-38-41,11,2-19,2.8,13.2,11.2
Fulham,49.0,31-71,-6,-34-29,12,3-19,1.2,9.4,10.6
Everton,48.0,31-71,-7,-35-30,12,3-18,1.2,9.6,10.6
Crystal Palace,46.0,30-70,-12,-36-26,13,3-19,0.8,8.0,13.8
Sunderland,46.0,29-67,-10,-37-22,13,4-19,0.8,6.4,16.2
Coventry,43.0,25-67,-12,-40-33,15,5-20,0.8,4.8,26.8
Tottenham,42.0,26-65,-19,-50-21,15,4-19,0.4,5.4,26.2
Hull,34.0,22-46,-19,-34--5,18,13-20,0.0,0.0,55.2
Ipswich,24.0,14-39,-65,-88--33,20,16-20,0.0,0.0,90.0
